Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
64.7,8333686,2050,4065.2,4032.0,3711,15423,378.7,[CUDA memcpy Host-to-Device]
35.3,4553071,2051,2219.9,2208.0,2175,9216,177.0,[CUDA memcpy Device-to-Host]
