Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
64.8,8513763,2050,4153.1,4192.0,3840,9728,205.8,[CUDA memcpy Host-to-Device]
35.2,4633437,2051,2259.1,2240.0,2208,6688,109.3,[CUDA memcpy Device-to-Host]
