PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
26523,26523,0,2050,2007,303292.3,302975.5,267578,402375,20432.6,8864.4,8014.0,6336,121024,4086.5,1443.9,1452.0,249,2432,191.2,293129.6,293207.5,258361,328535,20050.2,cudaLaunchKernel,"<unnamed>::kDistributeGlobalSpikes(<unnamed>::GlobalSynapseData, <unnamed>::LocalNeuronData, const int *, int, int)"
26523,26523,0,2050,2037,15270.6,14703.5,12734,246945,5526.6,6159.7,5513.5,4086,241130,5687.2,2082.1,2115.0,185,3007,235.2,7064.6,7072.0,5760,7328,82.4,cudaLaunchKernel,"<unnamed>::kLocalComputeAndProduce(<unnamed>::LocalNeuronData, <unnamed>::LocalRuleData, int *)"
