Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
100.0,1229738218,2050,599872.3,572732.5,20395,49139321,1113512.8,collectives,MPI_Allgatherv
0.0,25703,1,25703.0,25703.0,25703,25703,0.0,collectives,MPI_Bcast
0.0,22371,1,22371.0,22371.0,22371,22371,0.0,collectives,MPI_Gatherv
