Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
54.2,623456373,4100,152062.5,141049.0,2294,2136166,153305.1,cudaDeviceSynchronize
42.9,493154893,4101,120252.4,27193.0,10222,3365051,158529.3,cudaMemcpy
2.8,32007925,4100,7806.8,7160.5,4371,156315,3960.7,cudaLaunchKernel
0.1,830200,4100,202.5,182.0,117,9489,219.1,cuKernelGetName
0.0,139001,1,139001.0,139001.0,139001,139001,0.0,cuLibraryLoadData
0.0,13818,1,13818.0,13818.0,13818,13818,0.0,cuProfilerStart
0.0,2314,2,1157.0,1157.0,631,1683,743.9,cuLibraryGetKernel
