Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
86.7,619911426,4100,151197.9,66530.0,2074,3211934,157840.0,cudaDeviceSynchronize
8.7,62480172,4101,15235.4,16861.0,9965,135685,4722.2,cudaMemcpy
4.3,31008006,4100,7562.9,6719.5,4109,2632304,41494.9,cudaLaunchKernel
0.1,1058903,4100,258.3,177.0,113,276128,4313.5,cuKernelGetName
0.0,127952,1,127952.0,127952.0,127952,127952,0.0,cuLibraryLoadData
0.0,13102,1,13102.0,13102.0,13102,13102,0.0,cuProfilerStart
0.0,2055,2,1027.5,1027.5,623,1432,572.0,cuLibraryGetKernel
