Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
100.0,1357773188,2050,662328.4,594816.5,39277,96429818,2139578.7,collectives,MPI_Allgatherv
0.0,216407,1,216407.0,216407.0,216407,216407,0.0,collectives,MPI_Bcast
0.0,10398,1,10398.0,10398.0,10398,10398,0.0,collectives,MPI_Gatherv
