PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
6780,6780,0,2050,2027,304396.1,302930.5,268237,2938429,61474.8,9384.7,7500.0,6156,2632304,58230.8,1590.2,1584.0,735,2579,157.5,293601.8,293521.0,258657,328577,19781.7,cudaLaunchKernel,"<unnamed>::kDistributeGlobalSpikes(<unnamed>::GlobalSynapseData, <unnamed>::LocalNeuronData, const int *, int, int)"
6780,6780,0,2050,2044,12529.5,12062.5,10876,257801,6755.2,5741.2,5230.0,4109,252845,6857.9,2231.9,2248.0,174,14196,318.9,4571.2,4576.0,4448,4832,48.9,cudaLaunchKernel,"<unnamed>::kLocalComputeAndProduce(<unnamed>::LocalNeuronData, <unnamed>::LocalRuleData, int *)"
