Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
58.3,1091409456,4101,266132.5,30742.0,9749,4953219,337046.3,cudaMemcpy
39.9,747152480,4100,182232.3,136365.0,2258,2551418,191157.8,cudaDeviceSynchronize
1.7,32210294,4100,7856.2,7108.0,4638,184423,5291.8,cudaLaunchKernel
0.0,852973,4100,208.0,190.0,122,8882,236.8,cuKernelGetName
0.0,130894,1,130894.0,130894.0,130894,130894,0.0,cuLibraryLoadData
0.0,20065,2,10032.5,10032.5,738,19327,13144.4,cuLibraryGetKernel
0.0,12733,1,12733.0,12733.0,12733,12733,0.0,cuProfilerStart
