Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
96.5,601883762,2050,293601.8,293521.0,258657,328577,19781.7,CUDA_KERNEL,"<unnamed>::kDistributeGlobalSpikes(<unnamed>::GlobalSynapseData, <unnamed>::LocalNeuronData, const int *, int, int)"
1.5,9370881,2050,4571.2,4576.0,4448,4832,48.9,CUDA_KERNEL,"<unnamed>::kLocalComputeAndProduce(<unnamed>::LocalNeuronData, <unnamed>::LocalRuleData, int *)"
1.3,8163151,2050,3982.0,4000.0,3648,10528,306.2,MEMORY_OPER,[CUDA memcpy Host-to-Device]
0.7,4531538,2051,2209.4,2208.0,2176,14080,267.0,MEMORY_OPER,[CUDA memcpy Device-to-Host]
