Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
64.7,8359237,2050,4077.7,4032.0,3392,16607,444.6,[CUDA memcpy Host-to-Device]
35.3,4558394,2051,2222.5,2208.0,2175,10496,308.7,[CUDA memcpy Device-to-Host]
