Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
99.8,106092839,2050,51752.6,29166.0,21595,3189342,177564.3,collectives,MPI_Allgatherv
0.1,136011,1,136011.0,136011.0,136011,136011,0.0,collectives,MPI_Gatherv
0.0,29240,1,29240.0,29240.0,29240,29240,0.0,collectives,MPI_Bcast
