PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
6923,6923,0,2050,2040,12835.1,12354.5,10903,140996,3556.5,6920.0,6375.0,4612,136846,3704.3,1940.4,1972.0,150,2668,193.1,3995.0,4000.0,2944,4128,52.5,cudaLaunchKernel,"<unnamed>::kApplyImports(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceImportMapData, int *)"
6923,6923,0,2050,2040,10674.0,10389.0,9726,179505,4092.1,4800.9,4478.0,3844,176392,4218.4,2341.1,2344.0,581,3201,140.0,3559.1,3552.0,3488,4096,25.3,cudaLaunchKernel,"<unnamed>::kUpdateSelectFireCleanup(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceRuleData)"
6923,6923,0,2050,2044,9843.5,9587.0,8940,291784,6283.4,4733.8,4490.5,3741,288323,6334.3,2314.7,2282.0,613,3442,189.9,2809.7,2816.0,2752,2912,23.8,cudaLaunchKernel,<unnamed>::kCleanupAfterPropagation(<unnamed>::OptimizedCudaSnpSimulator)
