PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
27249,27249,0,2050,2045,273558.4,273587.5,253161,396379,11040.2,4673.1,4329.0,3505,133390,4071.6,6023.5,6140.0,310,7575,781.6,262949.0,263001.0,242873,282616,10629.9,cudaLaunchKernel,"<unnamed>::kPopulateExport(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceExportSynapseData, int *)"
27249,27249,0,2050,2044,15605.0,14436.0,12391,1624117,36317.3,5727.1,4512.0,3764,1621174,36496.1,3123.8,3138.0,1254,4225,226.8,6775.0,6783.0,5152,7615,93.4,cudaLaunchKernel,"<unnamed>::kUpdateSelectFireCleanup(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceRuleData)"
27249,27249,0,2050,2042,11649.1,11208.5,10093,51410,2130.3,6260.1,5757.0,4564,46677,2372.2,2087.5,2113.5,57,2921,283.9,3319.5,3327.0,3263,3520,33.2,cudaLaunchKernel,<unnamed>::kCleanupAfterPropagation(<unnamed>::OptimizedCudaSnpSimulator)
