Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
99.9,1709967652,2050,834130.6,477956.5,262,572654636,12913712.4,start-wait,MPI_Waitall
0.1,1853626,2050,904.2,594.0,404,430247,9558.7,p2p,MPI_Irecv
0.0,134858,1,134858.0,134858.0,134858,134858,0.0,collectives,MPI_Allgatherv
0.0,113950,1,113950.0,113950.0,113950,113950,0.0,collectives,MPI_Allgather
