PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
6857,6857,0,2050,2050,439621.8,440774.5,139075,739561,170561.3,6127.7,4632.5,3701,218972,6170.4,300703.3,303339.5,2365,600223,169893.2,132790.8,132807.0,127943,138088,1427.5,cudaLaunchKernel,"<unnamed>::kPopulateExport(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceExportSynapseData, int *)"
6857,6857,0,2050,2008,312129.1,312532.5,16811,727314,170025.3,5713.3,4679.5,3985,134338,5444.0,2818.8,2611.0,1417,4288,506.1,303843.3,304896.5,9504,601343,170173.5,cudaLaunchKernel,"<unnamed>::kUpdateSelectFireCleanup(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceRuleData)"
6857,6857,0,2050,2021,14823.0,13852.0,11774,125587,4827.8,7841.3,6775.5,5417,119315,5007.2,1933.5,1959.0,17,3237,190.7,5118.7,5120.0,3488,5345,79.8,cudaLaunchKernel,"<unnamed>::kApplyImports(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceImportMapData, int *)"
6857,6857,0,2050,2041,12736.1,11477.0,10133,2191527,48174.6,6062.5,4725.5,3949,2189551,48288.3,3559.1,3619.0,1792,4968,293.1,3140.5,3136.0,3072,3296,28.9,cudaLaunchKernel,<unnamed>::kCleanupAfterPropagation(<unnamed>::OptimizedCudaSnpSimulator)
