Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.3,950015480,8200,115855.5,8399.0,1972,3437230,208249.7,cudaStreamSynchronize
5.1,52776914,8200,6436.2,4861.5,3701,2189551,24629.2,cudaLaunchKernel
2.2,22770099,4100,5553.7,5295.5,3546,51957,1899.4,cudaMemcpyAsync
1.2,12917170,2050,6301.1,5539.0,4687,50016,3468.4,cudaMemsetAsync
0.1,1454721,8200,177.4,144.0,110,16672,399.3,cuKernelGetName
0.0,124585,1,124585.0,124585.0,124585,124585,0.0,cuLibraryLoadData
0.0,24997,1,24997.0,24997.0,24997,24997,0.0,cudaMemcpy
0.0,9926,1,9926.0,9926.0,9926,9926,0.0,cuProfilerStart
0.0,3864,4,966.0,834.5,623,1572,448.7,cuLibraryGetKernel
