Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.8,642705710,6150,104505.0,7493.0,1885,5177150,209758.3,cudaStreamSynchronize
4.9,34153583,6150,5553.4,4671.0,3505,1621174,21252.7,cudaLaunchKernel
1.8,12561665,2050,6127.6,5130.0,4212,1262380,27863.2,cudaMemsetAsync
1.4,9703179,2050,4733.3,4035.0,3238,407938,9174.2,cudaMemcpyAsync
0.1,1030330,6150,167.5,136.0,105,16700,298.5,cuKernelGetName
0.0,138375,1,138375.0,138375.0,138375,138375,0.0,cuLibraryLoadData
0.0,25234,1,25234.0,25234.0,25234,25234,0.0,cudaMemcpy
0.0,11367,1,11367.0,11367.0,11367,11367,0.0,cuProfilerStart
0.0,2210,3,736.7,745.0,675,790,58.0,cuLibraryGetKernel
