Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
16.794,2050,0.008,0.008,0.008,0.008,0.000,[CUDA memcpy Host-to-Device]
0.008,1,0.008,0.008,0.008,0.008,0.000,[CUDA memcpy Device-to-Host]
