Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.7,44991378,6150,7315.7,7073.0,1835,77302,2193.2,cudaStreamSynchronize
35.7,33731988,6150,5484.9,4730.0,3741,288323,4990.3,cudaLaunchKernel
15.4,14521790,2050,7083.8,6524.0,4159,43944,2582.0,cudaMemcpyAsync
1.0,964423,6150,156.8,148.0,105,2825,103.8,cuKernelGetName
0.1,123261,1,123261.0,123261.0,123261,123261,0.0,cuLibraryLoadData
0.0,31570,1,31570.0,31570.0,31570,31570,0.0,cudaMemcpy
0.0,10460,1,10460.0,10460.0,10460,10460,0.0,cuProfilerStart
0.0,3525,3,1175.0,861.0,710,1954,678.8,cuLibraryGetKernel
