"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_write.sum","gpu__time_duration.sum","l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum","l1tex__t_bytes_lookup_hit.sum","l1tex__t_bytes_lookup_miss.sum","lts__t_requests_lookup_hit.sum","lts__t_requests_lookup_miss.sum","lts__t_sectors_lookup_hit.sum","lts__t_sectors_lookup_miss.sum","sm__sass_branch_targets.avg","sm__sass_branch_targets_threads_divergent.sum","smsp__average_warps_issue_stalled_barrier_per_issue_active.pct","smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct","smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct","smsp__warp_issue_stalled_membar_per_warp_active.pct","smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct","smsp__warp_issue_stalled_no_instruction_per_warp_active.pct","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_wait_per_warp_active.pct"
"","","","","","","","","","","","Mbyte","Mbyte","ms","","Mbyte","Mbyte","request","request","sector","sector","branches","branches","%","%","%","%","%","%","%","%","%","%"
"13","3190","snp_profile","127.0.0.1","computeSpikingVectorKernel(int, const int *, const int *, int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.371232","0.008032","0.007488","0","0.278528","0.180224","269.000000","3643.000000","2638.000000","7011.000000","16.025000","1.000000","0","0.943298","0","60.333872","0.005603","0","0","3.221576","0.979206","9.206576"
"14","3190","snp_profile","127.0.0.1","consumeSpikesAndProduceKernel(int, int, int *, int *, int *, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","75.334336","1.501312","4.446784","0","14.004768","195.218880","4330685.000000","404382.000000","4524188.000000","1594353.000000","9883.175000","0.000000","0","4.638422","0","82.396059","0.000001","0","0","0.362262","0.001728","9.210803"
"15","3190","snp_profile","127.0.0.1","updateDelaysAndEmitKernel(int, int, int *, int *, int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.032704","0.000064","0.003808","0","0.000000","0.024576","164.000000","411.000000","890.000000","867.000000","0.000000","0.000000","0","0.799492","0","34.078284","0.000000","0","0","6.395938","2.239510","6.671946"
"16","3190","snp_profile","127.0.0.1","computeSpikingVectorKernel(int, const int *, const int *, int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.370656","0.010656","0.007712","0","0.344064","0.180224","324.000000","3643.000000","2689.000000","7011.000000","19.225000","1.000000","0","0.977212","0","60.033092","0.006518","0","0","3.035925","0.960164","9.832034"
"17","3190","snp_profile","127.0.0.1","consumeSpikesAndProduceKernel(int, int, int *, int *, int *, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","75.298432","1.540928","4.433664","0","13.989056","195.169056","4327141.000000","403984.000000","4520300.000000","1594382.000000","9883.175000","0.000000","0","4.615421","0","81.572959","0.000001","0","0","0.360318","0.001720","9.160669"
"18","3190","snp_profile","127.0.0.1","updateDelaysAndEmitKernel(int, int, int *, int *, int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.032544","0.000160","0.003872","0","0.000000","0.024576","122.000000","411.000000","847.000000","869.000000","0.000000","0.000000","0","0.798555","0","33.884731","0.000000","0","0","6.545709","2.232577","6.673850"
"19","3190","snp_profile","127.0.0.1","computeSpikingVectorKernel(int, const int *, const int *, int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.371104","0.009376","0.007968","0","0.409600","0.180224","272.000000","3643.000000","2644.000000","7011.000000","22.425000","1.000000","0","0.997293","0","59.384558","0.005134","0","0","3.114861","0.940082","10.340410"
"20","3190","snp_profile","127.0.0.1","consumeSpikesAndProduceKernel(int, int, int *, int *, int *, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","75.325792","1.498880","4.475200","0","13.995296","195.097280","4326003.000000","404379.000000","4519544.000000","1594191.000000","9883.175000","0.000000","0","4.665999","0","83.511301","0.000000","0","0","0.364667","0.001739","9.271834"
"21","3190","snp_profile","127.0.0.1","updateDelaysAndEmitKernel(int, int, int *, int *, int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.032672","0.000160","0.003840","0","0.000000","0.024576","126.000000","411.000000","855.000000","867.000000","0.000000","0.000000","0","0.800298","0","33.754063","0.000000","0","0","6.386077","2.230817","6.673811"
"22","3190","snp_profile","127.0.0.1","computeSpikingVectorKernel(int, const int *, const int *, int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.371616","0.012736","0.008160","0","0.475104","0.180224","262.000000","3643.000000","2627.000000","7013.000000","25.625000","1.000000","0","1.027452","0","59.017780","0.005047","0","0","2.912675","0.917857","10.904446"
