Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
100.0,499669398,2050,243741.2,122192.0,27053,66433487,1563089.8,collectives,MPI_Allgatherv
0.0,140299,1,140299.0,140299.0,140299,140299,0.0,collectives,MPI_Bcast
0.0,14424,1,14424.0,14424.0,14424,14424,0.0,collectives,MPI_Gatherv
