Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.2,1145839723,4101,279405.0,33770.0,9621,5614426,405037.7,cudaMemcpy
38.8,751513334,4100,183295.9,135087.0,2235,8748592,302927.0,cudaDeviceSynchronize
1.9,37476039,4100,9140.5,7303.5,4246,1016732,18579.3,cudaLaunchKernel
0.1,974716,4100,237.7,185.0,112,101352,1620.2,cuKernelGetName
0.0,137500,1,137500.0,137500.0,137500,137500,0.0,cuLibraryLoadData
0.0,22833,1,22833.0,22833.0,22833,22833,0.0,cuProfilerStart
0.0,1836,2,918.0,918.0,710,1126,294.2,cuLibraryGetKernel
