Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
50.381,2050,0.025,0.025,0.025,0.025,0.000,[CUDA memcpy Host-to-Device]
22.061,2051,0.011,0.011,0.011,0.011,0.000,[CUDA memcpy Device-to-Host]
