Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
62.7,8615190,2050,4202.5,4224.0,3872,16129,459.1,[CUDA memcpy Host-to-Device]
37.3,5115681,2051,2494.2,2464.0,2400,10849,266.2,[CUDA memcpy Device-to-Host]
