Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.9,1040035089,4101,253605.2,31939.0,10293,3784994,312261.9,cudaMemcpy
38.0,659879258,4100,160946.2,135515.5,2313,3687772,169190.5,cudaDeviceSynchronize
2.1,35847513,4100,8743.3,7219.5,4404,3656893,57150.8,cudaLaunchKernel
0.1,892308,4100,217.6,197.0,120,12401,279.8,cuKernelGetName
0.0,130718,1,130718.0,130718.0,130718,130718,0.0,cuLibraryLoadData
0.0,11676,1,11676.0,11676.0,11676,11676,0.0,cuProfilerStart
0.0,1849,2,924.5,924.5,629,1220,417.9,cuLibraryGetKernel
