Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
60.5,1015123359,2050,495182.1,497730.0,10144,1000004,280560.3,"neuronDynamicsKernel(DeviceNeuronData, const int *, const int *, const int *, const int *, const int *, const int *)"
39.5,662606876,2050,323222.9,323399.0,259225,385910,36307.0,"synapseTransferKernel(const int *, int *, const int *, const int *, const int *, int)"
