Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
48.1,1032929695,8200,125967.0,8366.0,2059,3880787,216446.7,CUDA_API,cudaStreamSynchronize
25.1,540185457,2050,263505.1,263549.0,243084,283822,11107.8,CUDA_KERNEL,"<unnamed>::kPopulateExport(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceExportSynapseData, int *)"
19.8,425591169,2050,207605.4,207754.5,7424,407764,115764.3,CUDA_KERNEL,"<unnamed>::kUpdateSelectFireCleanup(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceRuleData)"
2.9,61806509,10250,6029.9,4980.0,3687,133142,3583.6,CUDA_API,cudaLaunchKernel
1.3,27197329,6150,4422.3,4220.0,2598,88199,2555.5,CUDA_API,cudaMemcpyAsync
0.7,14620039,2050,7131.7,6269.0,5143,45586,2782.7,CUDA_API,cudaMemsetAsync
0.5,11494224,2050,5606.9,5600.0,3713,7328,826.4,CUDA_KERNEL,"<unnamed>::kPropagateLocal(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceLocalSynapseData)"
0.5,10232551,2050,4991.5,4992.0,3520,5153,67.8,CUDA_KERNEL,"<unnamed>::kApplyImports(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceImportMapData, int *)"
0.4,8590586,4101,2094.8,2208.0,1664,14401,498.4,MEMORY_OPER,[CUDA memcpy Device-to-Host]
0.3,6792559,2050,3313.4,3297.0,3264,3553,33.9,CUDA_KERNEL,<unnamed>::kCleanupAfterPropagation(<unnamed>::OptimizedCudaSnpSimulator)
0.3,6094563,2050,2973.0,2976.0,2912,3392,21.9,MEMORY_OPER,[CUDA memset]
0.1,1752985,10250,171.0,142.0,105,14356,431.1,CUDA_API,cuKernelGetName
0.1,1402139,2050,684.0,672.0,640,705,15.9,MEMORY_OPER,[CUDA memcpy Host-to-Device]
0.0,123003,1,123003.0,123003.0,123003,123003,0.0,CUDA_API,cuLibraryLoadData
0.0,26439,1,26439.0,26439.0,26439,26439,0.0,CUDA_API,cudaMemcpy
0.0,9725,1,9725.0,9725.0,9725,9725,0.0,CUDA_API,cuProfilerStart
0.0,3653,5,730.6,637.0,628,961,146.8,CUDA_API,cuLibraryGetKernel
