PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
7210,7210,0,2050,2035,13173.7,12682.0,10745,63797,2523.4,7413.0,6822.0,4620,63101,2825.0,1808.1,1853.0,5,2723,233.3,3990.6,4000.0,2944,4096,50.3,cudaLaunchKernel,"<unnamed>::kApplyImports(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceImportMapData, int *)"
7210,7210,0,2050,2041,10742.0,10474.0,9793,169625,3961.5,4926.3,4625.0,3909,166653,4045.3,2278.0,2283.0,1625,4772,153.1,3558.9,3552.0,3488,4128,25.5,cudaLaunchKernel,"<unnamed>::kUpdateSelectFireCleanup(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceRuleData)"
7210,7210,0,2050,2047,9922.5,9734.0,9006,69191,1690.5,4862.8,4679.0,3804,64722,1757.5,2257.0,2240.0,1523,3307,168.5,2810.0,2816.0,2752,2944,24.4,cudaLaunchKernel,<unnamed>::kCleanupAfterPropagation(<unnamed>::OptimizedCudaSnpSimulator)
