Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
90.7,1032929695,8200,125967.0,8366.0,2059,3880787,216446.7,cudaStreamSynchronize
5.4,61806509,10250,6029.9,4980.0,3687,133142,3583.6,cudaLaunchKernel
2.4,27197329,6150,4422.3,4220.0,2598,88199,2555.5,cudaMemcpyAsync
1.3,14620039,2050,7131.7,6269.0,5143,45586,2782.7,cudaMemsetAsync
0.2,1752985,10250,171.0,142.0,105,14356,431.1,cuKernelGetName
0.0,123003,1,123003.0,123003.0,123003,123003,0.0,cuLibraryLoadData
0.0,26439,1,26439.0,26439.0,26439,26439,0.0,cudaMemcpy
0.0,9725,1,9725.0,9725.0,9725,9725,0.0,cuProfilerStart
0.0,3653,5,730.6,637.0,628,961,146.8,cuLibraryGetKernel
