Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
75.4,122479448,2050,59746.1,9680.0,634,5006578,292812.1,start-wait,MPI_Waitall
23.3,37910505,4100,9246.5,7550.0,3455,1599343,38934.7,p2p,MPI_Isend
0.6,1048600,2050,511.5,426.0,309,102945,2275.4,p2p,MPI_Irecv
0.5,759524,1,759524.0,759524.0,759524,759524,0.0,collectives,MPI_Allgather
0.1,161415,1,161415.0,161415.0,161415,161415,0.0,collectives,MPI_Allgatherv
