PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
7141,7141,0,2050,2050,475132.0,475193.5,285362,684273,104229.7,5261.4,4552.0,3687,35080,2380.7,206365.4,205732.5,1908,406330,115732.9,263505.1,263549.0,243084,283822,11107.8,cudaLaunchKernel,"<unnamed>::kPopulateExport(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceExportSynapseData, int *)"
7141,7141,0,2050,2050,216259.5,216451.0,14308,416482,115095.9,5152.6,4717.0,3812,98192,3001.7,205500.0,205642.0,1902,406126,116099.4,5606.9,5600.0,3713,7328,826.4,cudaLaunchKernel,"<unnamed>::kPropagateLocal(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceLocalSynapseData)"
7141,7141,0,2050,2024,215724.0,215442.0,16174,539550,115860.3,5523.5,4996.0,4104,133142,4063.0,2719.1,2985.0,875,4279,500.3,207605.4,207754.5,7424,407764,115764.3,cudaLaunchKernel,"<unnamed>::kUpdateSelectFireCleanup(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceRuleData)"
7141,7141,0,2050,2004,14595.0,13768.5,12615,77063,3373.8,7971.2,6945.0,5783,71692,3755.9,1771.0,1818.0,143,2718,223.0,4991.5,4992.0,3520,5153,67.8,cudaLaunchKernel,"<unnamed>::kApplyImports(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceImportMapData, int *)"
7141,7141,0,2050,1996,12643.2,11702.5,10370,41118,3224.7,6240.8,5008.5,4152,38366,3676.0,3250.5,3372.0,1219,4426,480.3,3313.4,3297.0,3264,3553,33.9,cudaLaunchKernel,<unnamed>::kCleanupAfterPropagation(<unnamed>::OptimizedCudaSnpSimulator)
