Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.7,623860583,2050,304322.2,304183.5,9408,600240,170426.1,"<unnamed>::kUpdateSelectFireCleanup(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceRuleData)"
29.4,270623875,2050,132011.6,132061.0,127740,136348,1355.9,"<unnamed>::kPopulateExport(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceExportSynapseData, int *)"
1.2,10647781,2050,5194.0,5344.0,4287,5600,340.1,"<unnamed>::kPropagateLocal(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceLocalSynapseData)"
1.1,10490806,2050,5117.5,5119.0,3456,5344,88.8,"<unnamed>::kApplyImports(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceImportMapData, int *)"
0.7,6432245,2050,3137.7,3136.0,3071,3296,28.8,<unnamed>::kCleanupAfterPropagation(<unnamed>::OptimizedCudaSnpSimulator)
