PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
27721,27721,0,2050,2049,442558.2,441284.5,137812,4719335,195082.1,6777.7,4276.0,3451,4592790,101367.5,303918.5,304233.0,2762,599550,170553.8,132011.6,132061.0,127740,136348,1355.9,cudaLaunchKernel,"<unnamed>::kPopulateExport(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceExportSynapseData, int *)"
27721,27721,0,2050,2037,312535.3,311481.5,17394,1710259,173503.6,5730.0,4544.0,3733,1710259,37827.9,2762.7,2983.0,1523,4183,493.0,304322.2,304183.5,9408,600240,170426.1,cudaLaunchKernel,"<unnamed>::kUpdateSelectFireCleanup(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceRuleData)"
27721,27721,0,2050,2050,312523.3,312732.0,16661,608928,170603.9,4579.3,4319.5,3510,100027,2627.8,302749.9,302729.5,151,598249,170323.4,5194.0,5344.0,4287,5600,340.1,cudaLaunchKernel,"<unnamed>::kPropagateLocal(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceLocalSynapseData)"
27721,27721,0,2050,1970,15365.5,14073.0,11648,242128,6505.8,8726.5,7189.0,5663,238626,6832.0,1751.8,1809.0,36,2952,249.9,5117.5,5119.0,3456,5344,88.8,cudaLaunchKernel,"<unnamed>::kApplyImports(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceImportMapData, int *)"
27721,27721,0,2050,2018,11660.8,11223.0,9905,47779,2358.3,5322.4,4682.5,3815,47779,2763.9,3294.5,3437.0,1520,4487,432.7,3137.7,3136.0,3071,3296,28.8,cudaLaunchKernel,<unnamed>::kCleanupAfterPropagation(<unnamed>::OptimizedCudaSnpSimulator)
