PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
6999,6999,0,2050,2050,352279.0,352164.0,84758,620986,152865.4,4625.8,4452.0,3722,22139,1393.9,338499.8,338196.5,69867,604494,152820.7,9153.4,9152.0,8801,9697,131.4,cudaLaunchKernel,"<unnamed>::kPopulateExport(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceExportSynapseData, int *)"
6999,6999,0,2050,2050,347538.8,347720.5,81454,615786,152924.3,4976.7,4672.0,3836,22275,1812.2,269051.6,269363.0,2485,536883,152440.2,73510.5,73508.0,71779,75876,738.9,cudaLaunchKernel,"<unnamed>::kPropagateLocal(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceLocalSynapseData)"
6999,6999,0,2050,2043,278639.0,279381.0,15386,676335,152676.8,5122.4,4817.0,4165,144001,3463.2,2139.1,2122.0,1650,3034,139.8,271405.2,271870.0,8064,538940,152495.5,cudaLaunchKernel,"<unnamed>::kUpdateSelectFireCleanup(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceRuleData)"
6999,6999,0,2050,2039,14494.8,14017.0,12225,85038,2971.2,7668.3,7097.0,5739,79026,3146.8,1820.7,1855.0,439,2788,198.0,5033.7,5088.0,3456,5441,129.8,cudaLaunchKernel,"<unnamed>::kApplyImports(<unnamed>::OptimizedCudaSnpSimulator, <unnamed>::DeviceImportMapData, int *)"
6999,6999,0,2050,2044,11172.7,11035.0,9920,69818,2021.1,5171.5,4929.0,4177,65217,2101.5,3008.2,3133.0,1561,4381,563.1,3009.5,3008.0,2912,3200,40.4,cudaLaunchKernel,<unnamed>::kCleanupAfterPropagation(<unnamed>::OptimizedCudaSnpSimulator)
