Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
97.4,954171150,2050,465449.3,286457.0,671,346010964,7637357.4,start-wait,MPI_Waitall
2.4,23795716,2050,11607.7,7072.5,3748,2745453,67994.7,p2p,MPI_Isend
0.1,1147051,2050,559.5,492.0,291,56714,1354.6,p2p,MPI_Irecv
0.0,137812,1,137812.0,137812.0,137812,137812,0.0,collectives,MPI_Allgatherv
0.0,102872,1,102872.0,102872.0,102872,102872,0.0,collectives,MPI_Allgather
