"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_write.sum","gpu__time_duration.sum","l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum","l1tex__t_bytes_lookup_hit.sum","l1tex__t_bytes_lookup_miss.sum","lts__t_requests_lookup_hit.sum","lts__t_requests_lookup_miss.sum","lts__t_sectors_lookup_hit.sum","lts__t_sectors_lookup_miss.sum","sm__sass_branch_targets.avg","sm__sass_branch_targets_threads_divergent.sum","smsp__average_warps_issue_stalled_barrier_per_issue_active.pct","smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct","smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct","smsp__warp_issue_stalled_membar_per_warp_active.pct","smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct","smsp__warp_issue_stalled_no_instruction_per_warp_active.pct","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_wait_per_warp_active.pct"
"","","","","","","","","","","","Mbyte","Mbyte","us","","Mbyte","Mbyte","request","request","sector","sector","branches","branches","%","%","%","%","%","%","%","%","%","%"
"28","4382","snp_profile","127.0.0.1","<unnamed>::populateExportBufferKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceExportSynapseData, int *)","1","13","(64, 1, 1)","(65536, 1, 1)","0","7.5","62.907168","1.336736","266.336000","0","12.005760","67.604096","149750.000000","394909.000000","542941.000000","1574620.000000","3276.800000","0.000000","0","1.543313","0.636850","59.115973","0.196228","0","0.156807","0.619511","2.252049","11.807863"
"29","4382","snp_profile","127.0.0.1","<unnamed>::clearSpikeProductionKernel(<unnamed>::DeviceNeuronData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.005856","0.000000","3.968000","0","0.000000","0.018432","130.000000","360.000000","1304.000000","150.000000","0.000000","0.000000","0","0.824556","0.000000","30.421619","0.000000","0","0.000000","7.153670","1.958321","7.730215"
"30","4382","snp_profile","127.0.0.1","<unnamed>::updateNeuronDynamicsKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceRuleData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.088640","0.000768","7.936000","0","0.008160","0.075648","268.000000","992.000000","1657.000000","2228.000000","3.225000","1.000000","0","0.904417","0.000000","72.313137","0.000000","0","0.000000","2.436793","0.590679","5.990549"
"31","4382","snp_profile","127.0.0.1","<unnamed>::populateExportBufferKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceExportSynapseData, int *)","1","13","(64, 1, 1)","(65536, 1, 1)","0","7.5","63.074112","1.360352","267.392000","0","11.998272","67.603392","150538.000000","394663.000000","543474.000000","1574632.000000","3276.800000","0.000000","0","1.543723","0.629374","59.367615","0.198492","0","0.168036","0.619724","2.281466","11.804797"
"32","4382","snp_profile","127.0.0.1","<unnamed>::clearSpikeProductionKernel(<unnamed>::DeviceNeuronData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.005856","0.000000","3.936000","0","0.000000","0.018432","257.000000","456.000000","1713.000000","149.000000","0.000000","0.000000","0","0.815572","0.000000","30.115646","0.000000","0","0.000000","7.149001","1.936984","7.645991"
"33","4382","snp_profile","127.0.0.1","<unnamed>::updateNeuronDynamicsKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceRuleData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.089344","0.000800","7.840000","0","0.008160","0.075648","245.000000","992.000000","1637.000000","2228.000000","3.225000","1.000000","0","0.908498","0.000000","72.543698","0.000000","0","0.000000","2.396724","0.594318","6.017586"
"34","4382","snp_profile","127.0.0.1","<unnamed>::populateExportBufferKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceExportSynapseData, int *)","1","13","(64, 1, 1)","(65536, 1, 1)","0","7.5","62.922048","1.338048","267.520000","0","12.001184","67.592288","150315.000000","394919.000000","543025.000000","1574573.000000","3276.800000","0.000000","0","1.542294","0.614242","59.555365","0.194761","0","0.158644","0.619537","2.260096","11.801065"
"35","4382","snp_profile","127.0.0.1","<unnamed>::clearSpikeProductionKernel(<unnamed>::DeviceNeuronData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.006080","0.000160","3.936000","0","0.000000","0.018432","140.000000","360.000000","1316.000000","149.000000","0.000000","0.000000","0","0.766961","0.000000","28.689126","0.000000","0","0.000000","6.510179","1.833516","7.190257"
"36","4382","snp_profile","127.0.0.1","<unnamed>::updateNeuronDynamicsKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceRuleData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.089536","0.000160","7.936000","0","0.008160","0.075648","250.000000","992.000000","1659.000000","2228.000000","3.225000","1.000000","0","0.907929","0.000000","72.048624","0.000000","0","0.000000","2.305303","0.593945","6.013813"
"37","4382","snp_profile","127.0.0.1","<unnamed>::populateExportBufferKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceExportSynapseData, int *)","1","13","(64, 1, 1)","(65536, 1, 1)","0","7.5","63.022080","1.339168","267.776000","0","12.003168","67.582112","150120.000000","394902.000000","542686.000000","1573788.000000","3276.800000","0.000000","0","1.541198","0.629348","59.504488","0.195939","0","0.156834","0.618651","2.262744","11.790015"
